Date,Symbol,Order,Shares
2006-06-08,IBM,SELL,500
2006-08-04,IBM,BUY,500
2006-08-16,IBM,BUY,500
2006-09-29,IBM,SELL,500
2006-10-13,IBM,BUY,500
2007-02-12,IBM,SELL,500
2007-02-27,IBM,SELL,500
2007-03-30,IBM,BUY,500
2007-04-25,IBM,BUY,500
2007-06-07,IBM,SELL,500
2007-06-22,IBM,BUY,500
2007-07-19,IBM,BUY,500
2007-10-19,IBM,SELL,500
2007-12-06,IBM,BUY,500
2007-12-19,IBM,SELL,500
2007-12-24,IBM,BUY,500
2007-12-31,IBM,SELL,500
2008-01-04,IBM,SELL,500
2008-01-23,IBM,BUY,500
2008-04-07,IBM,SELL,500
2008-04-17,IBM,BUY,500
2008-05-05,IBM,SELL,500
2008-05-14,IBM,BUY,500
2008-06-16,IBM,SELL,500
2008-06-27,IBM,SELL,500
2008-07-14,IBM,BUY,500
2008-07-17,IBM,BUY,500
2008-08-19,IBM,SELL,500
2008-10-31,IBM,BUY,500
2008-11-17,IBM,SELL,500
2008-12-02,IBM,BUY,500
2008-12-08,IBM,BUY,500
2009-01-20,IBM,SELL,500
2009-02-04,IBM,BUY,500
2009-02-20,IBM,SELL,500
2009-03-11,IBM,BUY,500
2009-03-17,IBM,BUY,500
2009-04-24,IBM,SELL,500
2009-05-04,IBM,BUY,500
2009-07-02,IBM,SELL,500
2009-07-20,IBM,BUY,500
2009-08-18,IBM,SELL,500
2009-10-09,IBM,BUY,500
2009-12-07,IBM,SELL,500
